id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
in1,1,0,0,0,0,0,1,1,0,0,0
in2,1,0,0,0,0,1,1,1,0,0,0
in3,1,0,0,0,0,1,1,1,0,0,0
in4,1,0,0,0,0,1,1,0,1,0,0
in5,1,0,0,0,0,1,0,1,1,0,0
m6,0,0,1,0,0,1,1,1,1,1,10
m7,0,0,1,0,0,1,1,0,1,1,10
m8,0,0,1,0,0,0,1,1,1,1,0
m9,0,0,1,0,0,1,0,1,0,1,10
m10,0,0,1,0,0,1,1,1,0,1,10
m11,0,0,1,0,0,1,0,1,1,1,10
m12,0,0,1,0,0,0,1,0,1,1,10
m13,0,0,1,0,0,1,0,1,0,1,10
m14,0,0,1,0,0,1,1,0,1,1,10
m15,0,0,1,0,0,1,0,1,1,1,10
m16,0,0,1,0,0,0,1,0,1,1,10
m17,0,0,1,0,0,1,0,1,1,1,10
m18,0,0,1,0,0,1,0,0,0,1,10
m19,0,0,1,0,0,0,1,0,0,1,10
m20,0,0,1,0,0,0,0,1,0,1,10
m21,0,0,1,0,0,1,0,0,0,1,10
m22,0,0,1,0,0,0,1,1,1,1,10
m23,0,1,0,0,0,1,0,1,1,0,0
m24,0,0,1,0,0,1,0,1,1,1,0
m25,0,0,1,0,0,0,0,1,1,1,10
m26,0,0,1,0,0,1,0,1,1,1,10
m27,0,0,1,0,0,0,1,1,1,1,0
m28,0,0,1,0,0,0,1,0,1,1,0
m29,0,0,1,0,0,1,1,1,0,1,10
m30,0,0,1,0,0,1,0,0,0,1,10
m31,0,1,0,0,0,0,0,1,1,0,0
m32,0,0,1,0,0,1,1,1,0,1,10
m33,0,0,1,0,0,1,1,1,1,1,10
m34,0,0,1,0,0,1,1,1,1,1,10
m35,0,1,0,0,0,0,1,1,0,0,0
m36,0,0,1,0,0,1,1,0,0,1,10
m37,0,1,0,0,0,1,1,0,1,0,0
m38,0,0,1,0,0,1,0,1,0,1,10
m39,0,0,1,0,0,1,1,0,0,1,10
m40,0,0,1,0,0,1,1,0,1,1,10
m41,0,0,1,0,0,1,0,0,1,1,10
m42,0,1,0,0,0,1,1,1,1,0,0
m43,0,0,1,0,0,0,1,0,1,1,10
m44,0,0,1,0,0,1,0,1,0,1,10
m45,0,0,1,0,0,1,0,0,1,1,0
m46,0,1,0,0,0,1,1,0,0,0,0
m47,0,0,1,0,0,0,1,1,1,1,0
m48,0,1,0,0,0,1,1,1,1,0,0
m49,0,0,1,0,0,0,1,0,1,1,10
o50,0,0,0,1,0,0,0,0,0,0,0
o51,0,0,0,1,0,0,0,0,0,0,0
o52,0,0,0,1,0,0,0,0,0,0,0
o53,0,0,0,1,0,0,0,0,0,0,0
o54,0,0,0,1,0,0,0,0,0,0,0
o55,0,0,0,1,0,0,0,0,0,0,0
o56,0,0,0,1,0,0,0,0,0,0,0
o57,0,0,0,1,0,0,0,0,0,0,0
o58,0,0,0,1,0,0,0,0,0,0,0
